"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,854800257731959;0,729252577319588;0,82363616838488;0,731357388316151;0,784761597938144
"RPART";"precision";0,261416083916084;0,458029332477604;0,526727998894195;0,90686624295245;0,538259914560083
"RPART";"recall";0,368564213564214;0,623485107588485;0,778809903546746;0,494599808071379;0,566364758192706
"RPART";"f1";0,300646648672964;0,523542528051266;0,623773518416376;0,639006046752576;0,521742185473296
"NNET";"accuracy";0,83926116838488;0,682624570446735;0,740796821305842;0,816333762886598;0,769754080756014
"NNET";"precision";0,323598803157627;0,602991322403087;0,607108209929388;0,542489896922052;0,519047058103039
"NNET";"recall";0,255212842712843;0,536589767588405;0,552263188681617;0,698627344877345;0,510673285965052
"NNET";"f1";0,249635834595512;0,536660034730617;0,565916080163735;0,591616525953007;0,485957118860718
"SVM";"accuracy";0,876557130584192;0,734407216494845;0,819523195876289;0,797669673539519;0,807039304123711
"SVM";"precision";0,0438665501165501;0,735713880173083;0,509119866640107;0,857544777672214;0,536561268650488
"SVM";"recall";0,35;0,573115831566433;0,797647746989852;0,583402450690829;0,576041507311779
"SVM";"f1";0,0769635627530364;0,64113715842493;0,610324304396239;0,690220009910926;0,504661258871283
"RAD.SVM";"accuracy";0,886952319587629;0,730219072164948;0,796574312714777;0,868234536082474;0,820495060137457
"RAD.SVM";"precision";0,311476995226995;0,755229835523953;0,591814471038957;0,706524645590081;0,591261486844997
"RAD.SVM";"recall";0,633358585858586;0,561605041876189;0,647571392432107;0,779613955436338;0,655537243900805
"RAD.SVM";"f1";0,409950667611958;0,642333006163228;0,614986088321314;0,735183524735638;0,600613321708034
"NBAYES";"accuracy";0,256185567010309;0,68263530927835;0,722079037800687;0,733344072164948;0,598560996563574
"NBAYES";"precision";0,928379120879121;0,0233569650960955;0,0166931216931217;0,247689150733306;0,304029589600411
"NBAYES";"recall";0,137946899227403;0,5;0,3;0,504679487179487;0,360656596601723
"NBAYES";"f1";0,237518390814339;0,044375156089152;0,0315004659832246;0,302362257073198;0,153939067489978
"WEKA.NB";"accuracy";0,872422680412371;0,799860395189003;0,808097079037801;0,749946305841924;0,807581615120275
"WEKA.NB";"precision";0,462608225108225;0,611341861226772;0,531302982149478;0,782757019537524;0,5970025220055
"WEKA.NB";"recall";0,497045532726647;0,729012912778691;0,715020505809979;0,518268599614574;0,614836887732473
"WEKA.NB";"f1";0,467897206785079;0,659875117176152;0,608033253646791;0,618181996362815;0,588496893492709
"1NN";"accuracy";0,841355240549828;0,569329896907216;0,706464776632302;0,700053694158076;0,704300902061856
"1NN";"precision";0,282744338994339;0,419740439654122;0,486661231475397;0,399799489080345;0,397236374801051
"1NN";"recall";0,372745098039216;0,357314438533951;0,490620449848336;0,428737211829778;0,41235429956282
"1NN";"f1";0,301142409877704;0,379025989735649;0,481259772747282;0,407013899541511;0,392110517975537
"KNN";"accuracy";0,864014175257732;0,597497852233677;0,624591924398625;0,69198883161512;0,694523195876289
"KNN";"precision";0,131553446553447;0,356562058631024;0,608419294626191;0,324018704435786;0,355138376061612
"KNN";"recall";0,452380952380952;0,392271452271452;0,407261578626647;0,385389258817042;0,409325810524023
"KNN";"f1";0,192289377289377;0,346590469287394;0,476431092281417;0,350449448029521;0,341440096721927
